                               Data                     Mult                      Log                      Pow                     Mean
                         -67.209000              -201.627000                      NaN              4517.049681                 6.192300
                          69.733000               209.199000                 1.567428              4862.691289                23.582700
                        -307.929000              -923.787000                      NaN             94820.269041                79.970900
                        -224.864000              -674.592000                      NaN             50563.818496                66.043600
                         345.359000              1036.077000                 2.158226            119272.838881                 1.523200
                         423.044000              1269.132000                 2.233148            178966.225936               -10.515500
                         -70.122000              -210.366000                      NaN              4917.094884                58.393100
                        -497.251000             -1491.753000                      NaN            247258.557001                13.277100
                         464.392000              1393.176000                 2.267583            215659.929664               -79.867600
                          89.819000               269.457000                 1.660899              8067.452761                13.515300
                         498.883000              1496.649000                 2.294039            248884.247689                29.218100
                         226.455000               679.365000                 2.002380             51281.867025                72.133100
                        -123.786000              -371.358000                      NaN             15322.973796               125.571500
                         -82.386000              -247.158000                      NaN              6787.452996               135.679300
                        -191.903000              -575.709000                      NaN             36826.761409                92.904800
                         361.748000              1085.244000                 2.175347            130861.615504                31.410100
                         248.049000               744.147000                 2.036013             61528.306401                74.597100
                          27.933000                83.799000                 1.229596               780.252489               149.127100
                         283.298000               849.894000                 2.085079             80257.756804               105.481200
                         495.692000              1487.076000                 2.291669            245710.558864               124.829100
                        -149.701000              -449.103000                      NaN             22410.389401               124.510000
                        -310.678000              -932.034000                      NaN             96520.819684                86.894400
                        -245.421000              -736.263000                      NaN             60231.467241                68.205200
                        -143.850000              -431.550000                      NaN             20692.822500                51.901700
                          20.666000                61.998000                 1.118329               427.083556                56.707000
                        -325.081000              -975.243000                      NaN            105677.656561                22.598800
                        -178.104000              -534.312000                      NaN             31721.034816               -34.714200
                         254.624000               763.872000                 2.045674             64833.381376               -55.317900
                        -444.043000             -1332.129000                      NaN            197174.185849               -58.185300
                        -243.908000              -731.724000                      NaN             59491.112464              -152.158800
                         285.186000               855.558000                 2.087532             81331.054596              -161.579500
                         -11.252000               -33.756000                      NaN               126.607504              -101.993100
                         325.825000               977.475000                 2.136726            106161.930625               -78.576200
                         477.258000              1431.774000                 2.277675            227775.198564               -31.608700
                         263.884000               791.652000                 2.058865             69634.765456                14.050500
                         171.184000               513.552000                 1.899056             29303.961856                72.947000
                         400.302000              1200.906000                 2.212743            160241.691204               107.875800
                        -306.238000              -918.714000                      NaN             93781.712644               122.443600
                         173.933000               521.799000                 1.904939             30252.688489               136.224100
                         364.693000              1094.079000                 2.178341            133000.984249               178.008200
                         283.581000               850.743000                 2.085448             80418.183561               185.958900
                         172.816000               518.448000                 1.902560             29865.369856               215.442200
                          91.148000               273.444000                 1.666322              8307.957904               200.141300
                        -340.206000             -1020.618000                      NaN            115740.122436               161.530300
                        -409.570000             -1228.710000                      NaN            167747.584900               101.121300
                         399.246000              1197.738000                 2.211768            159397.368516                43.045900
                        -478.458000             -1435.374000                      NaN            228922.057764                42.940300
                         338.479000              1015.437000                 2.150795            114568.033441                25.718300
                         -72.822000              -218.466000                      NaN              5303.043684                42.172900
                         304.840000               914.520000                 2.112142             92927.425600                -1.578600
                         334.172000              1002.516000                 2.146067            111670.925584                 0.547300
                         277.477000               832.431000                 2.077413             76993.485529                16.682900
                         494.162000              1482.486000                 2.290527            244196.082244                35.315800
                        -411.249000             -1233.747000                      NaN            169125.740001               118.752600
                        -366.373000             -1099.119000                      NaN            134229.175129               118.584700
                          14.827000                44.481000                 0.995716               219.839929                42.022800
                        -236.330000              -708.990000                      NaN             55851.868900                91.351300
                         -44.478000              -133.434000                      NaN              1978.292484                33.870400
                        -230.549000              -691.647000                      NaN             53152.841401                36.704800
                        -180.372000              -541.116000                      NaN             32534.058384               -16.834100
                         211.614000               634.842000                 1.977350             44780.484996               -68.288500
                        -445.363000             -1336.089000                      NaN            198348.201769               -74.874800
                         308.376000               925.128000                 2.116401             95095.757376              -168.827300
                          37.440000               112.320000                 1.337767              1401.753600               -96.864800
                        -468.105000             -1404.315000                      NaN            219122.291025               -56.483500
                          72.260000               216.780000                 1.580573              5221.507600              -104.776700
                        -291.376000              -874.128000                      NaN             84899.973376               -73.917700
                         432.197000              1296.591000                 2.241052            186794.246809               -98.607500
                         266.022000               798.066000                 2.061845             70767.704484               -32.332900
                         382.556000              1147.668000                 2.195999            146349.093136                12.306500
                         296.890000               890.670000                 2.102384             88143.672100                29.400700
                          49.603000               148.809000                 1.441647              2460.457609               103.626000
                          55.372000               166.116000                 1.482275              3066.058384                77.748700
                        -111.962000              -335.886000                      NaN             12535.489444                79.541900
                         209.397000               628.191000                 1.973461             43847.103609               115.156200
                         145.802000               437.406000                 1.839792             21258.223204               128.869900
                        -212.716000              -638.148000                      NaN             45248.096656               172.587700
                         230.939000               692.817000                 2.009621             53332.821721               108.096400
                         -15.719000               -47.157000                      NaN               247.086961               104.588100
                         214.462000               643.386000                 1.982287             45993.949444                64.760600
                          35.779000               107.337000                 1.321010              1280.136841                56.517800
                        -181.547000              -544.641000                      NaN             32959.313209                55.135400
                          -8.061000               -24.183000                      NaN                64.979721                31.443500
                          29.940000                89.820000                 1.255219               896.403600                41.833600
                         -92.796000              -278.388000                      NaN              8611.097616                23.887900
                         125.566000               376.698000                 1.784617             15766.820356                 0.028100
                        -455.232000             -1365.696000                      NaN            207236.173824                33.856300
                         170.875000               512.625000                 1.898389             29198.265625               -34.760800
                        -418.911000             -1256.733000                      NaN            175486.425921               -16.101400
                        -185.781000              -557.343000                      NaN             34514.579961               -79.438700
                         490.502000              1471.506000                 2.287782            240592.212004              -101.594700
                         292.703000               878.109000                 2.097139             85675.046209               -34.389800
                        -131.144000              -393.432000                      NaN             17198.748736                -4.313400
                         298.878000               896.634000                 2.104849             89328.058884               -20.421800
                        -169.857000              -509.571000                      NaN             28851.400449                18.745600
                         -99.249000              -297.747000                      NaN              9850.364001               -10.796700
                        -128.862000              -386.586000                      NaN             16605.415044                24.801600
                          38.766000               116.298000                 1.350619              1502.802756                -5.172100
                        -167.052000              -501.156000                      NaN             27906.370704                40.595600
                        -362.840000             -1088.520000                      NaN            131652.865600                42.468500
                         -78.677000              -236.031000                      NaN              6190.070329               -42.865700
                        -370.162000             -1110.486000                      NaN            137019.906244               -80.003700
                         186.763000               560.289000                 1.931220             34880.418169              -103.905500
                         476.695000              1430.085000                 2.277239            227238.123025              -115.117000
                          17.877000                53.631000                 1.064794               319.587129               -50.461800
                        -103.840000              -311.520000                      NaN             10782.745600               -38.749200
                         122.497000               367.491000                 1.775479             15005.515009               -36.247000
                         305.161000               915.483000                 2.112531             93123.235921               -27.873900
                        -372.902000             -1118.706000                      NaN            139055.901604                19.347400
                        -393.221000             -1179.663000                      NaN            154622.754841                18.341200
                          19.623000                58.869000                 1.099205               385.062129               -13.113200
                         162.877000               488.631000                 1.880687             26528.917129                25.865300
                         -74.768000              -224.304000                      NaN              5590.253824                23.476700
                        -488.438000             -1465.314000                      NaN            238571.679844               -31.669600
                        -307.183000              -921.549000                      NaN             94361.395489               -82.301100
                         332.436000               997.308000                 2.144143            110513.694096              -102.635400
                         137.129000               411.387000                 1.817146             18804.362641               -81.641500
                        -262.415000              -787.245000                      NaN             68861.632225               -98.444700
                           3.311000                 9.933000                 0.442108                10.962721               -87.396000
                         218.217000               654.651000                 1.988697             47618.659089               -47.742800
                          51.804000               155.412000                 1.457679              2683.654416               -27.883400
                          -6.187000               -18.561000                      NaN                38.278969               -38.990700
                          10.920000                32.760000                 0.882774               119.246400               -32.132600
                         420.660000              1261.980000                 2.231061            176954.835600                17.803200
                        -207.309000              -621.927000                      NaN             42977.021481                90.587500
                         341.063000              1023.189000                 2.153604            116323.969969                36.613000
                        -178.589000              -535.767000                      NaN             31894.030921                57.006400
                         163.829000               491.487000                 1.882839             26839.941241                65.389000
                        -120.171000              -360.513000                      NaN             14441.069241                81.440800
                         154.359000               463.077000                 1.860852             23826.700881                47.602000
                         300.990000               902.970000                 2.107449             90594.980100                57.857500
                         301.152000               903.456000                 2.107647             90692.527104                88.575200
                         284.197000               852.591000                 2.086249             80767.934809               117.598400
                         -12.248000               -36.744000                      NaN               150.013504               103.952100
                         277.848000               833.544000                 2.077906             77199.511104               123.458200
                        -197.927000              -593.781000                      NaN             39175.097329               117.136700
                         383.912000              1151.736000                 2.197305            147388.423744               115.202900
                         -99.655000              -298.965000                      NaN              9931.119025               137.211200
                        -392.766000             -1178.298000                      NaN            154265.130756               139.262800
                        -488.990000             -1466.970000                      NaN            239111.220100                84.550300
                           7.124000                21.372000                 0.725049                50.751376                 5.552300
                         126.857000               380.571000                 1.788394             16092.698449               -23.850500
                         173.887000               521.661000                 1.904841             30236.688769               -39.584500
                         432.355000              1297.065000                 2.241187            186930.846025               -20.971000
                         138.420000               415.260000                 1.820606             19160.096400                -5.520300
                         366.705000              1100.115000                 2.180372            134472.557025                28.114400
                         264.791000               794.373000                 2.060132             70114.273681                26.393700
                        -224.452000              -673.356000                      NaN             50378.700304                62.838300
                        -395.710000             -1187.130000                      NaN            156586.404100                79.669700
                        -231.898000              -695.694000                      NaN             53776.682404                88.997700
                         493.765000              1481.295000                 2.290231            243803.875225                65.095500
                         156.093000               468.279000                 1.864977             24365.024649               101.786300
                         261.915000               785.745000                 2.056099             68599.467225               100.006900
                           4.685000                14.055000                 0.570287                21.949225                82.962900
                          76.753000               230.259000                 1.602848              5891.023009                69.589400
                        -445.394000             -1336.182000                      NaN            198375.815236                40.594200
                        -154.252000              -462.756000                      NaN             23793.679504               -30.424300
                         398.164000              1194.492000                 2.210766            158534.570896               -23.404300
                         218.436000               655.308000                 1.989067             47714.286096                55.983100
                         225.578000               676.734000                 2.000947             50885.434084               101.016500
                          52.523000               157.569000                 1.462769              2758.665529                74.197800
                          19.426000                58.278000                 1.095479               377.369476                63.840800
                          26.730000                80.190000                 1.213340               714.492900                39.591900
                        -163.280000              -489.840000                      NaN             26660.358400                41.796400
                        -492.822000             -1478.466000                      NaN            242873.523684                17.793100
                        -195.422000              -586.266000                      NaN             38189.758084                13.050300
                         138.793000               416.379000                 1.821600             19263.496849                 8.933300
                         391.090000              1173.270000                 2.204146            152951.388100               -17.003800
                         204.923000               614.769000                 1.965486             41993.435929                 0.261600
                         246.027000               738.081000                 2.032991             60529.284729                -1.803900
                         402.101000              1206.303000                 2.214399            161685.214201                17.546500
                        -287.954000              -863.862000                      NaN             82917.506116                55.814000
                        -127.116000              -381.348000                      NaN             16158.477456                24.345600
                          75.988000               227.964000                 1.599149              5774.176144                27.962000
                        -355.598000             -1066.794000                      NaN            126449.937604                84.843000
                        -488.696000             -1466.088000                      NaN            238823.780416                68.825400
                         -57.307000              -171.921000                      NaN              3284.092249                 6.076500
                         409.193000              1227.579000                 2.220855            167438.911249               -38.763200
                        -213.148000              -639.444000                      NaN             45432.069904               -18.336200
                          46.983000               140.949000                 1.421608              2207.402289               -64.253700
                        -322.705000              -968.115000                      NaN            104138.517025               -99.765500
                        -219.383000              -658.149000                      NaN             48128.900689              -103.240600
                        -296.924000              -890.772000                      NaN             88163.861776              -112.467300
                         439.211000              1317.633000                 2.246997            192906.302521              -149.758500
                         285.303000               855.909000                 2.087684             81397.801809               -70.277600
                         279.829000               839.487000                 2.080530             78304.269241                 7.122300
                         493.817000              1481.451000                 2.290270            243855.229489                40.835900
                        -368.949000             -1106.847000                      NaN            136123.364601                49.298300
                         177.993000               533.979000                 1.913459             31681.508049                33.718200
                         212.253000               636.759000                 1.978464             45051.336009                46.819200
                         356.629000              1069.887000                 2.170084            127184.243641               100.315000
                        -269.484000              -808.452000                      NaN             72621.626256               157.916200
                        -268.322000              -804.966000                      NaN             71996.695684               160.660200
                        -116.641000              -349.923000                      NaN             13605.122881                89.906900
                          67.235000               201.705000                 1.553957              4520.545225                49.712500
                        -261.144000              -783.432000                      NaN             68196.188736                28.453100
                         187.937000               563.811000                 1.933534             35320.315969               -47.043000
                        -293.971000              -881.913000                      NaN             86418.948841                 8.645600
                        -370.054000             -1110.162000                      NaN            136939.962916               -38.550800
                        -107.140000              -321.420000                      NaN             11478.979600               -96.781500
                         452.056000              1356.168000                 2.257641            204354.627136              -143.158400
                        -467.953000             -1403.859000                      NaN            218980.010209               -71.004400
                         104.906000               314.718000                 1.718234             11005.268836               -90.967500
                        -175.060000              -525.180000                      NaN             30646.003600               -68.812800
                         108.035000               324.105000                 1.729087             11671.561225               -93.042300
                         249.308000               747.924000                 2.037883             62154.478864               -56.124400
                        -163.756000              -491.268000                      NaN             26816.027536               -49.987300
                        -449.272000             -1347.816000                      NaN            201845.329984               -36.965800
                         158.501000               475.503000                 1.870630             25122.567001               -44.887600
                         123.096000               369.288000                 1.777280             15152.625216               -18.323500
                          97.710000               293.130000                 1.691994              9547.244100               -51.219500
                         335.796000              1007.388000                 2.147857            112758.953616                 5.346800
                         403.714000              1211.142000                 2.215877            162984.993796                28.435800
                         300.786000               902.358000                 2.107198             90472.217796                86.313200
                         275.007000               825.021000                 2.074111             75628.850049               105.588300
                         189.016000               567.048000                 1.935648             35727.048256               108.158200
                          80.615000               241.845000                 1.620976              6498.778225               143.435400
                         268.824000               806.472000                 2.065714             72266.342976               196.424100
                         320.068000               960.204000                 2.130143            102443.524624               207.456400
                        -241.392000              -724.176000                      NaN             58270.097664               227.153600
                         -18.923000               -56.769000                      NaN               358.079929               193.243400
                         176.697000               530.091000                 1.910761             31221.829809               157.771500
                         -10.877000               -32.631000                      NaN               118.309129               135.069800
                         212.755000               638.265000                 1.979336             45264.690025               103.903500
                        -439.944000             -1319.832000                      NaN            193550.723136                97.678300
                        -443.641000             -1330.923000                      NaN            196817.336881                34.782300
                         451.611000              1354.833000                 2.257278            203952.495321               -17.643300
                         247.993000               743.979000                 2.035930             61500.528049                 0.635400
                        -237.613000              -712.839000                      NaN             56459.937769                -6.572100
                        -418.442000             -1255.326000                      NaN            175093.707364                -6.194200
                        -359.147000             -1077.441000                      NaN            128986.567609               -46.146100
                        -285.557000              -856.671000                      NaN             81542.800249               -99.730500
                        -386.395000             -1159.185000                      NaN            149301.096025              -127.198500
                         245.759000               737.277000                 2.032588             60397.486081              -187.113500
                          39.383000               118.149000                 1.356450              1551.020689              -118.543200
                         221.640000               664.920000                 1.994444             49124.289600               -70.240800
                          -4.933000               -14.799000                      NaN                24.334489               -93.237900
                         375.628000              1126.884000                 2.189250            141096.394384              -118.530500
                         272.368000               817.104000                 2.070550             74184.327424               -57.206400
                        -346.432000             -1039.296000                      NaN            120015.130624                11.874600
                          -1.276000                -3.828000                      NaN                 1.628176                13.146100
                        -129.922000              -389.766000                      NaN             16879.726084                41.574200
                         489.364000              1468.092000                 2.286925            239477.124496                67.221500
                         -97.563000              -292.689000                      NaN              9518.538969                91.582000
                        -329.136000              -987.408000                      NaN            108330.506496                77.887400
                         264.371000               793.113000                 2.059546             69892.025641                22.809800
                        -408.546000             -1225.638000                      NaN            166909.834116                49.740200
                         251.479000               754.437000                 2.041085             63241.687441               -28.677200
                          33.195000                99.585000                 1.293329              1101.908025               -30.766100
                         411.521000              1234.563000                 2.222950            169349.533441                 7.196600
                        -489.913000             -1469.739000                      NaN            240014.747569                48.476300
                        -485.728000             -1457.184000                      NaN            235931.689984                12.477200
                          88.218000               264.654000                 1.654257              7782.415524               -85.032000
                          -0.790000                -2.370000                      NaN                 0.624100               -66.453900
                         227.027000               681.081000                 2.003312             51541.258729               -33.619300
                         148.274000               444.822000                 1.846000             21985.179076               -37.353700
                          55.569000               166.707000                 1.483586              3087.913761                18.328300
                         178.639000               535.917000                 1.914797             31911.892321                -1.262700
                        -103.733000              -311.199000                      NaN             10760.535289                13.281700
                         317.957000               953.871000                 2.127699            101096.653849               -38.243700
                         260.197000               780.591000                 2.053669             67702.478809                42.543300
                          37.120000               111.360000                 1.334597              1377.894400               117.135800
                        -467.600000             -1402.800000                      NaN            218649.760000               112.026000
                         373.802000              1121.406000                 2.187451            139727.935204                65.345000
                        -217.121000              -651.363000                      NaN             47141.528641                80.022500
                          71.783000               215.349000                 1.578127              5152.799089                43.483000
                          95.442000               286.326000                 1.683321              9109.175364                45.104400
                         277.946000               833.838000                 2.078036             77253.978916                36.784700
                         -52.589000              -157.767000                      NaN              2765.602921                74.952600
                        -132.191000              -396.573000                      NaN             17474.460481                37.898000
                         431.514000              1294.542000                 2.240468            186204.332196                -1.340800
                         446.135000              1338.405000                 2.252773            199036.438225                38.098600
                         237.888000               713.664000                 2.020568             56590.700544               129.472100
                         420.878000              1262.634000                 2.231252            177138.290884               115.880700
                        -151.428000              -454.284000                      NaN             22930.439184               179.680600
                         408.752000              1226.256000                 2.220457            167078.197504               157.359500
                         185.249000               555.747000                 1.928214             34317.192001               188.690500
                         -59.974000              -179.922000                      NaN              3596.880676               179.420800
                         160.231000               480.693000                 1.874639             25673.973361               178.682300
                        -281.555000              -844.665000                      NaN             79273.218025               207.924500
                        -148.453000              -445.359000                      NaN             22038.293209               136.617600
                         170.318000               510.954000                 1.897183             29008.221124                77.158800
                        -267.283000              -801.849000                      NaN             71440.202089                70.401800
                         439.765000              1319.295000                 2.247462            193393.255225                 1.585700
                        -330.471000              -991.413000                      NaN            109211.081841                60.705000
                         459.744000              1379.232000                 2.263869            211364.545536               -13.217300
                          88.039000               264.117000                 1.653507              7750.865521                14.232200
                         225.098000               675.294000                 2.000161             50669.109604                29.033500
                         138.383000               415.149000                 1.820507             19149.854689                35.520200
                         484.306000              1452.918000                 2.283088            234552.301636                77.514000
                          43.054000               129.162000                 1.389359              1853.646916               140.789900
                        -101.420000              -304.260000                      NaN             10286.016400               128.063500
                          21.426000                64.278000                 1.131665               459.073476               144.649800
                          75.454000               226.362000                 1.596545              5693.306116               102.815900
                        -227.619000              -682.857000                      NaN             51810.409161               143.408400
                         304.305000               912.915000                 2.111494             92601.533025                74.672100
                        -352.763000             -1058.289000                      NaN            124441.734169                96.298700
                         367.823000              1103.469000                 2.181496            135293.759329                38.512600
                          82.251000               246.753000                 1.628395              6765.227001                61.456600
                          94.648000               283.944000                 1.680236              8958.243904                21.251100
                        -264.368000              -793.104000                      NaN             69890.439424                26.410500
                          13.764000                41.292000                 0.968245               189.447696                10.115700
                          40.782000               122.346000                 1.369340              1663.171524                 9.349500
                         473.520000              1420.560000                 2.274771            224221.190400                 5.882300
                         -65.358000              -196.074000                      NaN              4271.668164                75.996200
                         389.354000              1168.062000                 2.202503            151596.537316                39.029900
                         382.271000              1146.813000                 2.195724            146131.117441               113.241600
                        -380.108000             -1140.324000                      NaN            144482.091664               114.686400
                        -170.621000              -511.863000                      NaN             29111.525641                68.450500
                          42.503000               127.509000                 1.384603              1806.505009                41.923600
                        -161.663000              -484.989000                      NaN             26134.925569                72.610700
                         180.926000               542.778000                 1.919495             32734.217476                55.068000
                        -287.179000              -861.537000                      NaN             82471.778041                69.082400
                          71.054000               213.162000                 1.574358              5048.670916                -6.987500
                         120.691000               362.073000                 1.769994             14566.317481                 6.653700
                        -117.651000              -352.953000                      NaN             13841.757801               -20.212600
                          30.798000                92.394000                 1.265652               948.516804               -70.204800
                        -291.270000              -873.810000                      NaN             84838.212900               -29.114200
                        -392.553000             -1177.659000                      NaN            154097.857809               -41.179100
                        -330.819000              -992.457000                      NaN            109441.210761               -84.684700
                        -306.965000              -920.895000                      NaN             94227.511225              -101.600300
                         150.501000               451.503000                 1.851505             22650.551001              -150.389400
                          67.761000               203.283000                 1.556835              4591.553121              -106.621400
                         214.461000               643.383000                 1.982285             45993.520521              -106.950700
                        -274.045000              -822.135000                      NaN             75100.662025               -97.573700
                         340.142000              1020.426000                 2.152605            115696.580164              -113.213100
                          18.766000                56.298000                 1.082715               352.162756               -82.278700
                        -126.808000              -380.424000                      NaN             16080.268864               -51.275100
                         207.964000               623.892000                 1.970925             43249.025296               -24.700600
                        -398.984000             -1196.952000                      NaN            159188.232256                29.177700
                         467.840000              1403.520000                 2.270315            218874.265600                19.975800
                         443.596000              1330.788000                 2.250665            196777.411216                51.709700
                         114.781000               344.343000                 1.751454             13174.677961                89.293200
                           8.622000                25.866000                 0.795523                74.338884                79.325200
                         417.116000              1251.348000                 2.227937            173985.757456               107.591900
                        -450.577000             -1351.731000                      NaN            203019.632929               115.289300
                        -102.024000              -306.072000                      NaN             10408.896576                68.355000
                         299.387000               898.161000                 2.105477             89632.575769                70.833400
                        -330.685000              -992.055000                      NaN            109352.569225                79.975700
                         227.355000               682.065000                 2.003845             51690.296025                86.805600
                        -158.110000              -474.330000                      NaN             24998.772100                62.757100
                           7.651000                22.953000                 0.751403                58.537801                 2.586500
                         -91.719000              -275.157000                      NaN              8412.374961                -8.126500
                          54.710000               164.130000                 1.477833              2993.184100               -18.160600
                        -421.295000             -1263.885000                      NaN            177489.477025               -54.401200
                        -471.028000             -1413.084000                      NaN            221867.376784               -51.473000
                         437.060000              1311.180000                 2.245184            191021.443600               -88.373400
                         109.503000               328.509000                 1.734071             11990.907009               -74.606100
                        -262.298000              -786.894000                      NaN             68800.240804               -30.587300
                        -455.493000             -1366.479000                      NaN            207473.873049               -79.552600
                         278.683000               836.049000                 2.079014             77664.214489              -109.290900
                         -69.263000              -207.789000                      NaN              4797.363169               -82.187700
                         195.008000               585.024000                 1.947172             38028.120064               -79.942100
                        -153.556000              -460.668000                      NaN             23579.445136               -65.912300
                        -354.802000             -1064.406000                      NaN            125884.459204               -39.138400
                         420.963000              1262.889000                 2.231327            177209.847369               -27.515800
                        -313.414000              -940.242000                      NaN             98228.335396               -29.125500
                         163.964000               491.892000                 1.883143             26884.193296               -71.417200
                        -205.845000              -617.535000                      NaN             42372.164025               -28.791000
                         394.550000              1183.650000                 2.207398            155669.702500                -3.826200
                         264.981000               794.943000                 2.060397             70214.930361                 7.760500
                        -238.005000              -714.015000                      NaN             56646.380025                41.184900
                         338.146000              1014.438000                 2.150432            114342.717316                -2.116400
                        -120.239000              -360.717000                      NaN             14457.417121                47.053800
                         270.616000               811.848000                 2.068167             73233.019456                70.510100
                         255.262000               765.786000                 2.046598             65158.688644                55.475400
                         -70.816000              -212.448000                      NaN              5014.905856               112.343000
                        -331.408000              -994.224000                      NaN            109831.262464                88.865000
                          54.649000               163.947000                 1.477421              2986.513201                76.308700
                          98.499000               295.497000                 1.694964              9702.053001                42.318600
                         395.947000              1187.841000                 2.208704            156774.026809                25.670400
                         396.539000              1189.617000                 2.209255            157243.178521                89.065600
                        -393.850000             -1181.550000                      NaN            155117.822500                94.904900
                        -195.772000              -587.316000                      NaN             38326.675984                67.543800
                         -48.750000              -146.250000                      NaN              2376.562500                20.905000
                        -315.145000              -945.435000                      NaN             99316.371025                -9.496200
                        -166.799000              -500.397000                      NaN             27821.906401               -33.929100
                        -111.691000              -335.073000                      NaN             12474.879481               -17.468200
                         294.357000               883.071000                 2.099220             86646.043449               -34.102200
                          70.902000               212.706000                 1.573567              5027.093604               -14.516400
                         -67.184000              -201.552000                      NaN              4513.689856               -47.020900
                          73.041000               219.123000                 1.584543              5334.987681               -93.393200
                        -498.360000             -1495.080000                      NaN            248362.689600               -46.704100
                        -372.176000             -1116.528000                      NaN            138514.974976               -76.962900
                         419.485000              1258.455000                 2.230028            175967.665225              -109.305500
                        -353.162000             -1059.486000                      NaN            124723.398244               -35.842500
                        -451.213000             -1353.639000                      NaN            203593.171369               -54.478800
                        -393.930000             -1181.790000                      NaN            155180.844900               -88.431000
                         310.802000               932.406000                 2.119295             96597.883204              -157.259700
                        -157.058000              -471.174000                      NaN             24667.215364              -133.269700
                        -499.380000             -1498.140000                      NaN            249380.384400              -142.257100
                          75.783000               227.349000                 1.598151              5743.063089              -199.499200
                         104.936000               314.808000                 1.718340             11011.564096              -142.084900
                         338.767000              1016.301000                 2.151110            114763.080289               -94.373700
                         455.544000              1366.632000                 2.260480            207520.335936              -102.445500
                        -124.447000              -373.341000                      NaN             15487.055809               -21.574900
                          94.029000               282.087000                 1.677814              8841.452841                11.101700
                        -115.272000              -345.816000                      NaN             13287.633984                59.897600
                          44.145000               132.435000                 1.398600              1948.781025                17.290200
                        -351.322000             -1053.966000                      NaN            123427.147684                37.410500
                         483.227000              1449.681000                 2.282264            233508.333529                52.216300
                         -59.908000              -179.724000                      NaN              3588.968464                92.960700
                        -454.783000             -1364.349000                      NaN            206827.577089                76.476300
                        -410.623000             -1231.869000                      NaN            168611.248129                -2.878700
                         244.321000               732.963000                 2.030421             59692.751041               -89.495400
                          -3.533000               -10.599000                      NaN                12.482089               -52.618600
                        -225.768000              -677.304000                      NaN             50971.189824               -62.374800
                        -422.479000             -1267.437000                      NaN            178488.505441               -73.424400
                         384.776000              1154.328000                 2.198136            148052.570176              -120.086800
                        -431.410000             -1294.230000                      NaN            186114.588100               -46.477000
                         148.424000               445.272000                 1.846374             22029.683776              -137.940700
